                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56237,                0.32163,                 0.9067,                0.96136,                0.98646,                0.99483,                0.95725,                0.34922,                0.20405,                0.83172,             2.9111e-05,             2.9111e-05,             2.9111e-05
                      2,                0.54239,                0.30848,                0.90072,                0.96346,                0.98795,                0.99487,                0.95345,                0.34826,                 0.2019,                0.83186,             5.7287e-05,             5.7287e-05,             5.7287e-05
                      3,                0.54602,                0.31237,                0.90308,                0.96174,                 0.9889,                0.99486,                0.95348,                0.35419,                0.20361,                  0.833,             8.4302e-05,             8.4302e-05,             8.4302e-05
                      4,                0.53593,                 0.3114,                0.89685,                0.95913,                0.98557,                0.99483,                0.95503,                0.35296,                 0.2066,                0.83277,             8.2773e-05,             8.2773e-05,             8.2773e-05
                      5,                0.54237,                0.30775,                0.89968,                0.95829,                0.98612,                0.99468,                 0.9591,                0.34821,                 0.2094,                0.83057,              8.103e-05,              8.103e-05,              8.103e-05
                      6,                0.53665,                0.31188,                0.89842,                 0.9613,                0.98762,                0.99481,                0.95879,                0.35183,                0.20744,                0.83118,             7.9288e-05,             7.9288e-05,             7.9288e-05
                      7,                0.53597,                0.30689,                0.89961,                0.96362,                0.98812,                0.99448,                0.95314,                0.35075,                0.21175,                0.83196,             7.7546e-05,             7.7546e-05,             7.7546e-05
                      8,                0.53699,                0.30674,                0.89782,                0.96344,                0.98928,                0.99405,                0.95544,                 0.3497,                0.20751,                0.83031,             7.5803e-05,             7.5803e-05,             7.5803e-05
                      9,                0.53378,                0.31058,                0.90099,                0.96032,                0.98797,                0.99476,                0.95529,                0.35046,                0.20639,                0.83132,             7.4061e-05,             7.4061e-05,             7.4061e-05
                     10,                0.53876,                0.30364,                0.89697,                0.96145,                0.98863,                0.99477,                0.95901,                0.35025,                0.20583,                0.83119,             7.2318e-05,             7.2318e-05,             7.2318e-05
                     11,                0.53738,                0.31442,                0.90201,                0.96176,                0.98957,                0.99451,                0.95653,                 0.3507,                0.20581,                0.83181,             7.0576e-05,             7.0576e-05,             7.0576e-05
                     12,                0.53541,                0.29932,                0.89371,                0.96064,                0.98737,                0.99488,                0.96136,                0.34459,                0.20223,                0.82951,             6.8834e-05,             6.8834e-05,             6.8834e-05
                     13,                 0.5313,                0.30126,                0.89893,                 0.9627,                0.98819,                 0.9949,                0.95983,                0.34166,                0.19876,                0.82773,             6.7091e-05,             6.7091e-05,             6.7091e-05
                     14,                0.53136,                0.30437,                0.89898,                0.95603,                0.99312,                0.99484,                 0.9575,                0.34451,                0.20206,                 0.8292,             6.5349e-05,             6.5349e-05,             6.5349e-05
                     15,                0.53224,                0.30229,                0.89655,                0.95741,                0.98682,                0.99483,                0.95902,                0.34341,                0.20547,                0.83012,             6.3606e-05,             6.3606e-05,             6.3606e-05
                     16,                0.53325,                0.30269,                0.89644,                0.96341,                0.98943,                0.99483,                0.95799,                0.34019,                 0.2016,                0.82743,             6.1864e-05,             6.1864e-05,             6.1864e-05
                     17,                0.53573,                0.30252,                 0.8991,                0.96097,                0.98931,                0.99471,                0.96044,                0.33825,                0.19912,                0.82797,             6.0122e-05,             6.0122e-05,             6.0122e-05
                     18,                0.54162,                0.30591,                 0.9013,                0.96249,                0.98854,                0.99469,                   0.96,                0.33801,                0.19998,                0.82761,             5.8379e-05,             5.8379e-05,             5.8379e-05
                     19,                0.52547,                0.29556,                0.89758,                0.95976,                0.99084,                0.99471,                0.95782,                0.33904,                0.19986,                0.82727,             5.6637e-05,             5.6637e-05,             5.6637e-05
                     20,                0.52421,                0.30079,                0.89423,                0.96222,                0.98938,                0.99479,                0.95913,                0.33777,                0.19876,                0.82688,             5.4894e-05,             5.4894e-05,             5.4894e-05
                     21,                0.53663,                0.29621,                0.89812,                0.96099,                0.99009,                0.99481,                0.96015,                0.33709,                0.19554,                0.82749,             5.3152e-05,             5.3152e-05,             5.3152e-05
