                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99095,                 3.3495,                 1.2754,                0.70581,                0.22399,                0.23438,                0.17399,                0.87517,                 2.2788,                 1.2717,               0.003325,               0.003325,               0.003325
                      2,                0.88622,                 1.8314,                 1.1626,                0.63596,                0.37737,                0.41867,                0.32707,                0.83155,                 1.7418,                 1.2199,              0.0066319,              0.0066319,              0.0066319
                      3,                0.93211,                 1.6635,                 1.1849,                0.63267,                0.39011,                0.39574,                0.28907,                  1.013,                 2.2378,                 1.3936,              0.0099125,              0.0099125,              0.0099125
                      4,                 1.0025,                 1.6953,                  1.234,                0.68711,                0.37246,                0.45529,                0.33195,                 1.1033,                 1.9396,                  1.476,              0.0098812,              0.0098812,              0.0098812
                      5,                0.98447,                 1.5699,                 1.2169,                 0.5487,                0.46892,                0.47672,                0.35294,                0.95726,                 1.6619,                  1.335,              0.0098416,              0.0098416,              0.0098416
                      6,                0.96037,                 1.4615,                 1.2001,                0.71756,                0.44897,                0.54875,                0.42628,                0.87406,                 1.4102,                 1.2703,               0.009802,               0.009802,               0.009802
                      7,                0.93249,                 1.3862,                 1.1798,                0.65067,                0.54796,                0.61574,                0.48118,                0.88757,                 1.3051,                 1.2638,              0.0097624,              0.0097624,              0.0097624
                      8,                0.92415,                 1.3269,                  1.175,                0.65926,                0.56428,                0.62271,                0.49026,                0.85764,                 1.2788,                 1.2446,              0.0097228,              0.0097228,              0.0097228
                      9,                0.90884,                  1.254,                 1.1628,                0.74968,                 0.5759,                0.69563,                0.56629,                0.81352,                 1.1768,                 1.2153,              0.0096832,              0.0096832,              0.0096832
                     10,                0.88714,                 1.1959,                 1.1515,                0.65403,                0.66427,                0.71952,                0.58395,                 0.8069,                 1.0798,                 1.1897,              0.0096436,              0.0096436,              0.0096436
                     11,                0.87111,                 1.1338,                 1.1372,                 0.6917,                0.60572,                0.71036,                0.57688,                0.77361,                 1.0122,                 1.1745,               0.009604,               0.009604,               0.009604
                     12,                0.87759,                 1.1232,                 1.1416,                0.61549,                0.75354,                0.76928,                0.62978,                0.75087,                0.94006,                 1.1402,              0.0095644,              0.0095644,              0.0095644
                     13,                 0.8605,                 1.0972,                 1.1333,                0.78248,                 0.6428,                0.80575,                0.66698,                0.74674,                0.93238,                 1.1396,              0.0095248,              0.0095248,              0.0095248
                     14,                0.85172,                 1.0524,                 1.1256,                   0.77,                0.68483,                0.81956,                0.68392,                0.72048,                 0.8126,                 1.1256,              0.0094852,              0.0094852,              0.0094852
                     15,                0.84254,                 1.0401,                 1.1238,                0.77188,                0.76409,                 0.8681,                0.71673,                0.72616,                0.78612,                 1.1165,              0.0094456,              0.0094456,              0.0094456
                     16,                 0.8334,                0.98744,                  1.112,                0.82485,                0.71372,                0.85427,                0.71988,                0.70455,                0.82105,                 1.1029,               0.009406,               0.009406,               0.009406
                     17,                0.82764,                0.97222,                 1.1114,                0.77545,                0.77638,                0.87771,                0.73478,                0.69632,                0.73804,                 1.0931,              0.0093664,              0.0093664,              0.0093664
